_id,estStatusDesc,enfrID,inspID,infrTypeCD,postal,rowNo,addr,estName,infrAction,lon,servID,enfrOutcome,unit,infrTypeDesc,enfrAmountFined,inspStatusDesc,enfrOutcomeDate,lat,servTypeCD,inspDate,infrID,addrID,estID,servTypeDesc,estStatusCD
13157736,Pass,,22304727,8583,M9V,2535,2665 ISLINGTON AVE,SOHA BEAUTY SALON/SPA,Notice to Comply,-79.56568772,557986,,,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.73891464,7018,2019-10-24T00:00:00,2208407,2904506,3645885,Aesthetics,PASS
13157737,Pass,,22304727,8573,M9V,2536,2665 ISLINGTON AVE,SOHA BEAUTY SALON/SPA,Notice to Comply,-79.56568772,557986,,,Personal service setting - fail to ensure disinfectants are used per manufacturer's instructions. Reg. Clause 11 (2)(b),,Conditional,,43.73891464,7018,2019-10-24T00:00:00,2208406,2904506,3645885,Aesthetics,PASS
13157738,Pass,,22304735,8569,M6E,2537,1290 ST CLAIR AVE W,GEM HAIR STUDIO & SPA,Notice to Comply,-79.44792147,559050,,,Reusable equipment not cleaned as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),,Conditional,,43.67717376,7017,2019-10-29T00:00:00,2208408,2909432,3646788,Nails,PASS
13157739,Pass,,22304745,8570,M5S,2538,1168 BAY ST,NAIL FOR YOU,Notice to Comply,-79.38949047,561483,,,Reusable equipment not disinfected as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),,Conditional,,43.6687776,7017,2019-11-07T00:00:00,2208409,2910432,3648248,Nails,PASS
13157740,Pass,,22304746,8571,M5S,2539,1168 BAY ST,NAIL FOR YOU,Notice to Comply,-79.38949047,561484,,,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),,Conditional,,43.6687776,7018,2019-11-07T00:00:00,2208410,2910432,3648248,Aesthetics,PASS
13157741,Pass,2208608,22304753,8578,M3A,2540,1277 YORK MILLS RD,NAILS FOR YOU,Ticket,-79.32521189,755321,"Fine Only, No Court",UNIT-F3,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),150,Conditional,2019-11-20,43.76054698,7017,2019-11-08T00:00:00,2208417,3016004,4019141,Nails,PASS
13157742,Pass,,22304753,8566,M3A,2541,1277 YORK MILLS RD,NAILS FOR YOU,Notice to Comply,-79.32521189,755321,,UNIT-F3,Personal service setting - fail to ensure sink has adequate counter space to prepare equipment for use and re-use. Reg. Clause 8 (3)(c),,Conditional,,43.76054698,7017,2019-11-08T00:00:00,2208415,3016004,4019141,Nails,PASS
13157743,Pass,,22304753,8569,M3A,2542,1277 YORK MILLS RD,NAILS FOR YOU,Notice to Comply,-79.32521189,755321,,UNIT-F3,Reusable equipment not cleaned as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),,Conditional,,43.76054698,7017,2019-11-08T00:00:00,2208416,3016004,4019141,Nails,PASS
13157744,Pass,,22304753,8548,M3A,2543,1277 YORK MILLS RD,NAILS FOR YOU,Notice to Comply,-79.32521189,755321,,UNIT-F3,Personal service setting - fail to ensure adequate storage space for necessary equipment and supplies. Reg. Para. 10 of subsec. 8 (1),,Conditional,,43.76054698,7017,2019-11-08T00:00:00,2208414,3016004,4019141,Nails,PASS
13157745,Pass,,22304754,8578,M3A,2544,1277 YORK MILLS RD,NAILS FOR YOU,Notice to Comply,-79.32521189,755322,,UNIT-F3,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.76054698,7018,2019-11-08T00:00:00,2208418,3016004,4019141,Aesthetics,PASS
13157746,,,22618109,8548,M1E,2545,4298 KINGSTON RD,HEAD 2 TOE BEAUTY SALON & SPA,Notice to Comply,-79.19368777,1171460,,,Personal service setting - fail to ensure adequate storage space for necessary equipment and supplies. Reg. Para. 10 of subsec. 8 (1),,Conditional,,43.76380443,7016,2019-09-27T00:00:00,2208419,2909717,4819702,Barbering & Hairdressing,UNKNOWN
